#T1CPath	labelPath
2.imf	3-labels.imf
10.imf	11-labels.imf
14.imf	15-labels.imf
22.imf	23-labels.imf
26.imf	27-labels.imf
30.imf	31-labels.imf
38.imf	39-labels.imf
42.imf	43-labels.imf
46.imf	47-labels.imf
50.imf	51-labels.imf
62.imf	63-labels.imf
74.imf	75-labels.imf
90.imf	91-labels.imf
94.imf	95-labels.imf
98.imf	99-labels.imf
102.imf	103-labels.imf
110.imf	111-labels.imf
114.imf	115-labels.imf
118.imf	119-labels.imf
122.imf	123-labels.imf
126.imf	127-labels.imf
134.imf	135-labels.imf
158.imf	159-labels.imf
166.imf	167-labels.imf
170.imf	171-labels.imf
174.imf	175-labels.imf
178.imf	179-labels.imf
190.imf	191-labels.imf
198.imf	199-labels.imf
206.imf	207-labels.imf
218.imf	219-labels.imf
222.imf	223-labels.imf
226.imf	227-labels.imf
230.imf	231-labels.imf
234.imf	235-labels.imf
238.imf	239-labels.imf
242.imf	243-labels.imf
246.imf	247-labels.imf
250.imf	251-labels.imf
254.imf	255-labels.imf
262.imf	263-labels.imf
266.imf	267-labels.imf
270.imf	271-labels.imf
274.imf	275-labels.imf
278.imf	279-labels.imf
282.imf	283-labels.imf
286.imf	287-labels.imf
290.imf	291-labels.imf
294.imf	295-labels.imf
298.imf	299-labels.imf
302.imf	303-labels.imf
306.imf	307-labels.imf
310.imf	311-labels.imf
314.imf	315-labels.imf
318.imf	319-labels.imf
322.imf	323-labels.imf
326.imf	327-labels.imf
330.imf	331-labels.imf
334.imf	335-labels.imf
338.imf	339-labels.imf
342.imf	343-labels.imf
346.imf	347-labels.imf
354.imf	355-labels.imf
358.imf	359-labels.imf
362.imf	363-labels.imf
370.imf	371-labels.imf
374.imf	375-labels.imf
378.imf	379-labels.imf
386.imf	387-labels.imf
390.imf	391-labels.imf
398.imf	399-labels.imf
402.imf	403-labels.imf
406.imf	407-labels.imf
418.imf	419-labels.imf
422.imf	423-labels.imf
426.imf	427-labels.imf
430.imf	431-labels.imf
434.imf	435-labels.imf
438.imf	439-labels.imf
442.imf	443-labels.imf
446.imf	447-labels.imf
454.imf	455-labels.imf
458.imf	459-labels.imf
466.imf	467-labels.imf
470.imf	471-labels.imf
474.imf	475-labels.imf
478.imf	479-labels.imf
482.imf	483-labels.imf
494.imf	495-labels.imf
502.imf	503-labels.imf
506.imf	507-labels.imf
514.imf	515-labels.imf
518.imf	519-labels.imf
526.imf	527-labels.imf
530.imf	531-labels.imf
534.imf	535-labels.imf
542.imf	543-labels.imf
546.imf	547-labels.imf
550.imf	551-labels.imf
554.imf	555-labels.imf
558.imf	559-labels.imf
562.imf	563-labels.imf
566.imf	567-labels.imf
578.imf	579-labels.imf
582.imf	583-labels.imf
590.imf	591-labels.imf
594.imf	595-labels.imf
614.imf	615-labels.imf
622.imf	623-labels.imf
626.imf	627-labels.imf
634.imf	635-labels.imf
638.imf	639-labels.imf
650.imf	651-labels.imf
654.imf	655-labels.imf
658.imf	659-labels.imf
662.imf	663-labels.imf
670.imf	671-labels.imf
674.imf	675-labels.imf
678.imf	679-labels.imf
682.imf	683-labels.imf
690.imf	691-labels.imf
694.imf	695-labels.imf
698.imf	699-labels.imf
706.imf	707-labels.imf
710.imf	711-labels.imf
714.imf	715-labels.imf
718.imf	719-labels.imf
726.imf	727-labels.imf
730.imf	731-labels.imf
734.imf	735-labels.imf
738.imf	739-labels.imf
742.imf	743-labels.imf
754.imf	755-labels.imf
770.imf	771-labels.imf
774.imf	775-labels.imf
778.imf	779-labels.imf
786.imf	787-labels.imf
794.imf	795-labels.imf
798.imf	799-labels.imf
814.imf	815-labels.imf
818.imf	819-labels.imf
