#dataPath	labelPath
0000_data.imf	0000_labels.imf
0001_data.imf	0001_labels.imf
0002_data.imf	0002_labels.imf
0003_data.imf	0003_labels.imf
0004_data.imf	0004_labels.imf
0005_data.imf	0005_labels.imf
0006_data.imf	0006_labels.imf
0007_data.imf	0007_labels.imf
0008_data.imf	0008_labels.imf
0009_data.imf	0009_labels.imf
0010_data.imf	0010_labels.imf
0011_data.imf	0011_labels.imf
0012_data.imf	0012_labels.imf
0013_data.imf	0013_labels.imf
0014_data.imf	0014_labels.imf
0015_data.imf	0015_labels.imf
0016_data.imf	0016_labels.imf
0017_data.imf	0017_labels.imf
0018_data.imf	0018_labels.imf
0019_data.imf	0019_labels.imf
0020_data.imf	0020_labels.imf
0021_data.imf	0021_labels.imf
0022_data.imf	0022_labels.imf
0023_data.imf	0023_labels.imf
0024_data.imf	0024_labels.imf
0025_data.imf	0025_labels.imf
0026_data.imf	0026_labels.imf
0027_data.imf	0027_labels.imf
0028_data.imf	0028_labels.imf
0029_data.imf	0029_labels.imf
0030_data.imf	0030_labels.imf
0031_data.imf	0031_labels.imf
0032_data.imf	0032_labels.imf
0033_data.imf	0033_labels.imf
0034_data.imf	0034_labels.imf
0035_data.imf	0035_labels.imf
0036_data.imf	0036_labels.imf
0037_data.imf	0037_labels.imf
0038_data.imf	0038_labels.imf
0039_data.imf	0039_labels.imf
0040_data.imf	0040_labels.imf
0041_data.imf	0041_labels.imf
0042_data.imf	0042_labels.imf
0043_data.imf	0043_labels.imf
0044_data.imf	0044_labels.imf
0045_data.imf	0045_labels.imf
0046_data.imf	0046_labels.imf
0047_data.imf	0047_labels.imf
0048_data.imf	0048_labels.imf
0049_data.imf	0049_labels.imf
0050_data.imf	0050_labels.imf
0051_data.imf	0051_labels.imf
0053_data.imf	0053_labels.imf
0054_data.imf	0054_labels.imf
0055_data.imf	0055_labels.imf
0056_data.imf	0056_labels.imf
0057_data.imf	0057_labels.imf
0058_data.imf	0058_labels.imf
0059_data.imf	0059_labels.imf
0060_data.imf	0060_labels.imf
0061_data.imf	0061_labels.imf
0062_data.imf	0062_labels.imf
0063_data.imf	0063_labels.imf
0064_data.imf	0064_labels.imf
0065_data.imf	0065_labels.imf
0066_data.imf	0066_labels.imf
0067_data.imf	0067_labels.imf
0068_data.imf	0068_labels.imf
0069_data.imf	0069_labels.imf
0070_data.imf	0070_labels.imf
0071_data.imf	0071_labels.imf
0072_data.imf	0072_labels.imf
0073_data.imf	0073_labels.imf
0074_data.imf	0074_labels.imf
0075_data.imf	0075_labels.imf
0077_data.imf	0077_labels.imf
0078_data.imf	0078_labels.imf
0079_data.imf	0079_labels.imf
0080_data.imf	0080_labels.imf
0081_data.imf	0081_labels.imf
0082_data.imf	0082_labels.imf
0083_data.imf	0083_labels.imf
0084_data.imf	0084_labels.imf
0085_data.imf	0085_labels.imf
0086_data.imf	0086_labels.imf
0087_data.imf	0087_labels.imf
0088_data.imf	0088_labels.imf
0089_data.imf	0089_labels.imf
0090_data.imf	0090_labels.imf
